Feature,Score,P_value
Feature_19862,33.510464,7.929332e-09
Feature_19232,33.510292,7.930023e-09
Feature_19484,33.510143,7.9306215e-09
Feature_19526,33.51011,7.93076e-09
Feature_19568,33.509945,7.93142e-09
Feature_19316,33.509823,7.931912e-09
Feature_19400,33.5098,7.9320035e-09
Feature_19442,33.509636,7.932664e-09
Feature_19904,33.509487,7.933264e-09
Feature_19358,33.508835,7.935891e-09
Feature_19736,33.50882,7.935952e-09
Feature_19946,33.50875,7.9362295e-09
Feature_20030,33.508636,7.93669e-09
Feature_19820,33.50845,7.937444e-09
Feature_19652,33.508427,7.937536e-09
Feature_19610,33.50809,7.938889e-09
Feature_20072,33.50805,7.939057e-09
Feature_19274,33.50782,7.93998e-09
Feature_19694,33.507217,7.94241e-09
Feature_19778,33.505913,7.947672e-09
Feature_19988,33.505898,7.947734e-09
Feature_19654,33.4952,7.991009e-09
Feature_19612,33.49467,7.99316e-09
Feature_19738,33.494625,7.993346e-09
Feature_19402,33.49459,7.993485e-09
Feature_19444,33.494576,7.993547e-09
Feature_20074,33.494553,7.99364e-09
Feature_19234,33.494415,7.994197e-09
Feature_19276,33.494385,7.994322e-09
Feature_19990,33.494385,7.994322e-09
Feature_19696,33.494297,7.994678e-09
Feature_19822,33.49413,7.995359e-09
Feature_19466,33.494114,7.99542e-09
Feature_19864,33.49407,7.995607e-09
Feature_19360,33.493946,7.996102e-09
Feature_19948,33.4939,7.996288e-09
Feature_19382,33.493847,7.996505e-09
Feature_19486,33.493843,7.99652e-09
Feature_19214,33.49377,7.996814e-09
Feature_19528,33.493626,7.997403e-09
Feature_19424,33.493423,7.998223e-09
Feature_19340,33.49335,7.998518e-09
Feature_19570,33.492306,8.002764e-09
Feature_19970,33.492302,8.002779e-09
Feature_19318,33.492268,8.002918e-09
Feature_19298,33.49214,8.00343e-09
Feature_19886,33.49214,8.00343e-09
Feature_20054,33.491783,8.0048865e-09
Feature_19718,33.491783,8.0048865e-09
Feature_20032,33.491707,8.005197e-09
Feature_19634,33.49162,8.0055536e-09
Feature_19760,33.49158,8.005709e-09
Feature_19780,33.491516,8.005972e-09
Feature_19844,33.491512,8.005988e-09
Feature_20012,33.49145,8.006236e-09
Feature_19550,33.491413,8.006391e-09
Feature_19592,33.49131,8.006809e-09
Feature_19802,33.491272,8.006965e-09
Feature_19256,33.491135,8.007523e-09
Feature_19906,33.491016,8.008003e-09
Feature_19928,33.490875,8.008577e-09
Feature_19508,33.490093,8.0117575e-09
Feature_19676,33.489292,8.015016e-09
Feature_19972,33.473286,8.080413e-09
Feature_19930,33.472675,8.082917e-09
Feature_19636,33.47256,8.083386e-09
Feature_19342,33.472443,8.083872e-09
Feature_19678,33.47243,8.083918e-09
Feature_19468,33.472393,8.084076e-09
Feature_19426,33.47232,8.084373e-09
Feature_19384,33.472027,8.085578e-09
Feature_19216,33.47196,8.08586e-09
Feature_20056,33.471184,8.08904e-09
Feature_19552,33.470943,8.090026e-09
Feature_19258,33.470436,8.092111e-09
Feature_19720,33.470383,8.09233e-09
Feature_19846,33.470257,8.092847e-09
Feature_19762,33.47018,8.093161e-09
Feature_20014,33.469925,8.0942115e-09
Feature_19594,33.468586,8.099716e-09
Feature_19510,33.46831,8.100844e-09
Feature_19300,33.468285,8.100955e-09
Feature_19804,33.468098,8.101724e-09
Feature_19888,33.46781,8.102901e-09
Feature_20020,33.462692,8.123987e-09
Feature_19768,33.4618,8.127669e-09
Feature_19978,33.461094,8.130582e-09
Feature_19726,33.460865,8.131527e-09
Feature_20062,33.460705,8.132188e-09
Feature_19894,33.460556,8.132803e-09
Feature_19936,33.460556,8.132803e-09
Feature_19810,33.45859,8.140918e-09
Feature_19852,33.45833,8.142006e-09
Feature_19210,33.457825,8.144088e-09
Feature_19264,33.457813,8.144135e-09
Feature_19378,33.45776,8.144356e-09
Feature_19558,33.457623,8.144924e-09
Feature_19642,33.45748,8.145507e-09
Feature_19516,33.457253,8.146454e-09
Feature_19420,33.457108,8.147054e-09
Feature_19294,33.457024,8.147401e-09
Feature_19252,33.456966,8.147637e-09
Feature_19474,33.45675,8.148537e-09
Feature_19348,33.45651,8.149532e-09
Feature_19306,33.45645,8.149768e-09
Feature_19600,33.456398,8.149989e-09
Feature_19336,33.456352,8.150178e-09
Feature_19390,33.45616,8.150968e-09
Feature_19546,33.456123,8.151125e-09
Feature_19684,33.45611,8.151189e-09
Feature_19222,33.454796,8.156621e-09
Feature_19462,33.454742,8.156842e-09
Feature_19588,33.45461,8.157395e-09
Feature_20008,33.454407,8.158232e-09
Feature_19432,33.454075,8.159607e-09
Feature_19756,33.453598,8.1615825e-09
Feature_19840,33.453217,8.1631635e-09
Feature_19924,33.45312,8.163559e-09
Feature_19966,33.452515,8.166073e-09
Feature_20050,33.4525,8.166136e-09
Feature_19672,33.451836,8.168889e-09
Feature_19798,33.451664,8.169601e-09
Feature_19714,33.451576,8.169964e-09
Feature_19882,33.45153,8.170154e-09
Feature_19504,33.450783,8.173256e-09
Feature_19458,33.449936,8.176771e-09
Feature_19710,33.44914,8.1800815e-09
Feature_19752,33.449013,8.180605e-09
Feature_19880,33.44846,8.182902e-09
Feature_19416,33.448277,8.183663e-09
Feature_19630,33.44792,8.185137e-09
Feature_19794,33.447914,8.185168e-09
Feature_19836,33.44767,8.186183e-09
Feature_19500,33.447514,8.186833e-09
Feature_20046,33.447487,8.1869445e-09
Feature_19754,33.44726,8.18788e-09
Feature_19626,33.447136,8.188403e-09
Feature_19796,33.447117,8.188482e-09
Feature_20048,33.44706,8.18872e-09
Feature_19838,33.44703,8.188847e-09
Feature_19962,33.44691,8.189339e-09
